model,model_family,variant,schedule,train_step,lr,train_loss,condition,role,accuracy,n_trials,n_correct,provenance_tier,source_file,notes
gpt2-small,GPT-2,scratch_cosine,cosine,1000,0.0005997534002026165,1.0108766924962402,ALL,,0.21088235294117647,10200,2151,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step1000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,26000,8.429051998564804e-05,0.22158713372133207,FVQ,first,0.9066666666666666,1800,1632,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step26000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,26000,8.429051998564804e-05,0.22158713372133207,CVQ,last,0.8483333333333334,1800,1527,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step26000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,26000,8.429051998564804e-05,0.22158713372133207,IVQ,intermediate,0.72,6600,4752,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step26000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,27000,7.375494830711946e-05,0.20396132172521902,ALL,,0.7870588235294118,10200,8028,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step27000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,27000,7.375494830711946e-05,0.20396132172521902,FVQ,first,0.9094444444444445,1800,1637,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step27000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,27000,7.375494830711946e-05,0.20396132172521902,CVQ,last,0.8594444444444445,1800,1547,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step27000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,27000,7.375494830711946e-05,0.20396132172521902,IVQ,intermediate,0.7339393939393939,6600,4844,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step27000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,28000,6.614250095565312e-05,0.205353792005626,ALL,,0.7974509803921569,10200,8134,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step28000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,28000,6.614250095565312e-05,0.205353792005626,FVQ,first,0.9066666666666666,1800,1632,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step28000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,28000,6.614250095565312e-05,0.205353792005626,CVQ,last,0.86,1800,1548,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step28000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,28000,6.614250095565312e-05,0.205353792005626,IVQ,intermediate,0.7506060606060606,6600,4954,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step28000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,29000,6.154001718880555e-05,0.1760133584946743,ALL,,0.7969607843137255,10200,8129,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step29000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,29000,6.154001718880555e-05,0.1760133584946743,FVQ,first,0.9061111111111111,1800,1631,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step29000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,29000,6.154001718880555e-05,0.1760133584946743,CVQ,last,0.8672222222222222,1800,1561,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step29000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,29000,6.154001718880555e-05,0.1760133584946743,IVQ,intermediate,0.748030303030303,6600,4937,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step29000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,30000,6e-05,0.17846912286273436,ALL,,0.7883333333333333,10200,8041,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step30000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,30000,6e-05,0.17846912286273436,FVQ,first,0.9022222222222223,1800,1624,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step30000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,30000,6e-05,0.17846912286273436,CVQ,last,0.855,1800,1539,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step30000.json,chance 0.10; lr/loss from train_log.json
gpt2-small,GPT-2,scratch_cosine,cosine,30000,6e-05,0.17846912286273436,IVQ,intermediate,0.7390909090909091,6600,4878,raw,synthetic_scratch_training/05_gpt2_scratch_h100/results/h100_cosine/val_agg_step30000.json,chance 0.10; lr/loss from train_log.json
